Time Stamp (ms),qw,qx,qy,qz
20322,0.127319,-0.586609,0.095459,-0.794067
20362,0.108948,-0.623962,0.132019,-0.762512
20402,0.108459,-0.620117,0.114197,-0.768555
20445,0.0962524,-0.615051,0.0955811,-0.776733
20484,0.0668335,-0.619629,0.0872192,-0.777161
20525,0.109436,-0.62146,0.102295,-0.768982
20564,0.172974,-0.587341,0.108826,-0.783142
20606,0.172363,-0.572815,0.118347,-0.792603
20646,0.17627,-0.564087,0.141541,-0.794128
20687,0.196655,-0.56604,0.170532,-0.782166
20726,0.198792,-0.581543,0.180054,-0.768005
20767,0.199646,-0.594116,0.206787,-0.751282
20809,0.194031,-0.608093,0.230835,-0.734375
20848,0.208313,-0.586792,0.244202,-0.743408
20890,0.247681,-0.523254,0.241394,-0.778809
20930,0.268555,-0.440308,0.233337,-0.824341
20971,0.336304,-0.313477,0.284729,-0.841187
21012,0.396057,-0.204224,0.312195,-0.83905
21051,0.441528,-0.146667,0.335327,-0.819214
21093,0.393066,-0.115784,0.388733,-0.825256
21133,0.380676,-0.146301,0.325073,-0.85321
21175,0.378784,-0.190979,0.258789,-0.867798
21214,0.24762,-0.275391,0.138,-0.918579
21256,0.168579,-0.337952,0.0308228,-0.925415
21294,0.137085,-0.384216,-0.0127563,-0.912903
21337,0.0939941,-0.457458,-0.00244141,-0.884277
21378,0.0474854,-0.482483,-0.0043335,-0.874634
21417,-0.0516968,-0.475952,-0.0638428,-0.87561
21458,-0.0769043,-0.509705,-0.0546265,-0.855164
21499,-0.09198,-0.530701,-0.0445557,-0.84137
21538,-0.0783081,-0.515137,-0.0393677,-0.8526
21579,-0.0224609,-0.524902,-0.00836182,-0.85083
21621,-0.0420532,-0.524536,-0.0249023,-0.849976
21660,-0.0440063,-0.480225,-0.0571899,-0.874146
21700,0.0309448,-0.46228,-0.0593262,-0.884216
21742,0.0906372,-0.347656,-0.0264282,-0.932861
21784,0.211304,-0.338379,0.0330811,-0.916382
